Source,Material,Total_waste,Latitude,Longitude
Construction and Demolition,Mixed Hardcore,76955,51.526825,-2.6554884
Construction and Demolition,Soils,76905,51.45386,-1.2947575
Construction and Demolition,Mixed Hardcore,76318,51.378748,-0.38506317
Other,Other Soils,76100,51.244812,-0.14476908
Construction and Demolition,Soils,75839,53.402465,-1.4415152
Mine and Quarry Wastes,Slate,75789,53.023991,-3.213548
Mine and Quarry Wastes,Slate,75789,53.048842,-4.243743
Mine and Quarry Wastes,Slate,75789,54.245562,-3.150146
Mine and Quarry Wastes,Slate,75789,51.96543,-4.593848
Mine and Quarry Wastes,Slate,75789,52.718244,-3.999668
Mine and Quarry Wastes,Slate,75789,52.674808,-3.821795
Mine and Quarry Wastes,Slate,75789,52.67819,-3.812306
Mine and Quarry Wastes,Slate,75789,52.92824,-3.905859
Mine and Quarry Wastes,Slate,75789,53.075627,-4.222592
